cluster	reference	dices_speech_id	speaker	addressee	text	notes	evaluation (against exp6)
001	Hom. Il. 2.11-2.15	37	Zeus	Oneirus	θωρῆξαί ἑ κέλευε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοι πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται.		Matched predicted cluster 54 (spurious-match)
001	Hom. Il. 2.28-2.32	38	Oneirus	Agamemnon	θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται		Matched predicted cluster 54 (spurious-match)
001	Hom. Il. 2.66-2.69	40	Agamemnon	Greek leaders	θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται	This is passage is not listed by de Jong in the table of Appendix 5 but it's mentioned at p. 181. 	Matched predicted cluster 54 (spurious-match)
002	Hom. Il. 2.23-33	38	Oneirus	Agamemnon	εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο· οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε· νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει. θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσί,	We decided to take the whole speech as 002 cluster (Oneirus' introduction + Zeus' message 001 cluster + Oneirus' conclusion). This means that the passage Hom. Il. 2.11-2.15 appears several times in our dataset in different clusters. We adopt the criterion of the "larger box"	Matched predicted cluster 54 (spurious-match)
002	Hom. Il. 2.60-70	40	Agamemnon	Greek leaders	εὕδεις Ἀτρέος υἱὲ δαΐφρονος ἱπποδάμοιο· οὐ χρὴ παννύχιον εὕδειν βουληφόρον ἄνδρα, ᾧ λαοί τʼ ἐπιτετράφαται καὶ τόσσα μέμηλε· νῦν δʼ ἐμέθεν ξύνες ὦκα· Διὸς δέ τοι ἄγγελός εἰμι, ὃς σεῦ ἄνευθεν ἐὼν μέγα κήδεται ἠδʼ ἐλεαίρει· θωρῆξαί σε κέλευσε κάρη κομόωντας Ἀχαιοὺς πανσυδίῃ· νῦν γάρ κεν ἕλοις πόλιν εὐρυάγυιαν Τρώων· οὐ γὰρ ἔτʼ ἀμφὶς Ὀλύμπια δώματʼ ἔχοντες ἀθάνατοι φράζονται· ἐπέγναμψεν γὰρ ἅπαντας Ἥρη λισσομένη, Τρώεσσι δὲ κήδεʼ ἐφῆπται ἐκ Διός· ἀλλὰ σὺ σῇσιν ἔχε φρεσίν·		Matched predicted cluster 54 (spurious-match)
003	Hom. Il. 2.158-165	43	Hera	Athena	οὕτω δὴ οἶκον δὲ φίλην ἐς πατρίδα γαῖαν Ἀργεῖοι φεύξονται ἐπʼ εὐρέα νῶτα θαλάσσης, κὰδ δέ κεν εὐχωλὴν Πριάμῳ καὶ Τρωσὶ λίποιεν Ἀργείην Ἑλένην, ἧς εἵνεκα πολλοὶ Ἀχαιῶν ἐν Τροίῃ ἀπόλοντο φίλης ἀπὸ πατρίδος αἴης· ἀλλʼ ἴθι νῦν κατὰ λαὸν Ἀχαιῶν χαλκοχιτώνων· σοῖς ἀγανοῖς ἐπέεσσιν ἐρήτυε φῶτα ἕκαστον, μηδὲ ἔα νῆας ἅλα δʼ ἑλκέμεν ἀμφιελίσσας.		Matched predicted cluster 58 (exact-match)
003	Hom. Il. 2.174-181	44	Athena	Odysseus	οὕτω δὴ οἶκον δὲ φίλην ἐς πατρίδα γαῖαν φεύξεσθʼ ἐν νήεσσι πολυκλήϊσι πεσόντες, κὰδ δέ κεν εὐχωλὴν Πριάμῳ καὶ Τρωσὶ λίποιτε Ἀργείην Ἑλένην, ἧς εἵνεκα πολλοὶ Ἀχαιῶν ἐν Τροίῃ ἀπόλοντο φίλης ἀπὸ πατρίδος αἴης; ἀλλʼ ἴθι νῦν κατὰ λαὸν Ἀχαιῶν, μηδʼ ἔτʼ ἐρώει, σοῖς δʼ ἀγανοῖς ἐπέεσσιν ἐρήτυε φῶτα ἕκαστον, μηδὲ ἔα νῆας ἅλα δʼ ἑλκέμεν ἀμφιελίσσας.		Matched predicted cluster 58 (exact-match)
004	Hom. Il. 3.68-73	58	Paris	Hector	ἄλλους μὲν κάθισον Τρῶας καὶ πάντας Ἀχαιούς, αὐτὰρ ἔμʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον συμβάλετʼ ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι· ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται, κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ ταμόντες 		Matched predicted cluster 144 (partial-match)
004	Hom. Il. 3.88-94	60	Hector	Greeks/Trojans	ἄλλους μὲν κέλεται Τρῶας καὶ πάντας Ἀχαιοὺς τεύχεα κάλʼ ἀποθέσθαι ἐπὶ χθονὶ πουλυβοτείρῃ, αὐτὸν δʼ ἐν μέσσῳ καὶ ἀρηΐφιλον Μενέλαον οἴους ἀμφʼ Ἑλένῃ καὶ κτήμασι πᾶσι μάχεσθαι. ὁππότερος δέ κε νικήσῃ κρείσσων τε γένηται κτήμαθʼ ἑλὼν εὖ πάντα γυναῖκά τε οἴκαδʼ ἀγέσθω· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ τάμωμεν.		Matched predicted cluster 144 (partial-match)
004	Hom. Il. 3.253-258	72	Idaius	Priam	αὐτὰρ Ἀλέξανδρος καὶ ἀρηΐφιλος Μενέλαος μακρῇς ἐγχείῃσι μαχήσοντʼ ἀμφὶ γυναικί· τῷ δέ κε νικήσαντι γυνὴ καὶ κτήμαθʼ ἕποιτο· οἳ δʼ ἄλλοι φιλότητα καὶ ὅρκια πιστὰ ταμόντες.		Matched predicted cluster 144 (partial-match)
004	Hom. Il. 3.276-287	73	Agamemnon	Zeus	εἰ μέν κεν Μενέλαον Ἀλέξανδρος καταπέφνῃ αὐτὸς ἔπειθʼ Ἑλένην ἐχέτω καὶ κτήματα πάντα, ἡμεῖς δʼ ἐν νήεσσι νεώμεθα ποντοπόροισιν· εἰ δέ κʼ Ἀλέξανδρον κτείνῃ ξανθὸς Μενέλαος, Τρῶας ἔπειθʼ Ἑλένην καὶ κτήματα πάντʼ ἀποδοῦναι, τιμὴν δʼ Ἀργείοις ἀποτινέμεν ἥν τινʼ ἔοικεν, ἥ τε καὶ ἐσσομένοισι μετʼ ἀνθρώποισι πέληται. 	similar content, different wording: Passim cannot detect that	Matched predicted cluster 144 (partial-match)
005	Hom. Il. 3.74-75	58	Paris	Hector	ναίοιμεν Τροίην ἐριβώλακα, τοὶ δὲ νέονται Ἄργος ἐς ἱππόβοτον καὶ Ἀχαιΐδα καλλιγύναικα		Missed by evaluation, but it corresponds to predicted cluster 144 (spurious-match)
005	Hom. Il. 3.259-260	72	Idaius	Priam	ναίοιμεν Τροίην ἐριβώλακα, τοὶ δὲ νέονται Ἄργος ἐς ἱππόβοτον καὶ Ἀχαιΐδα καλλιγύναικα		Missed by evaluation, but it corresponds to predicted cluster 144 (spurious-match)
006	Hom. Il. 4.66-67	88	Hera	Zeus	πειρᾶν δʼ ὥς κε Τρῶες ὑπερκύδαντας Ἀχαιοὺς ἄρξωσι πρότεροι ὑπὲρ ὅρκια δηλήσασθαι.		Matched predicted cluster 185 (exact-match)
006	Hom. Il. 4.71-72	89	Zeus	Athena	πειρᾶν δʼ ὥς κε Τρῶες ὑπερκύδαντας Ἀχαιοὺς ἄρξωσι πρότεροι ὑπὲρ ὅρκια δηλήσασθαι.		Matched predicted cluster 185 (exact-match)
007	Hom. Il. 4.195-197	96	Agamemnon	Talthybius	ὄφρα ἴδῃ Μενέλαον ἀρήϊον Ἀτρέος υἱόν, ὅν τις ὀϊστεύσας ἔβαλεν τόξων ἐῢ εἰδὼς Τρώων ἢ Λυκίων, τῷ μὲν κλέος, ἄμμι δὲ πένθος.		Matched predicted cluster 280 (exact-match)
007	Hom. Il. 4. 205-207	97	Talthybius	Machaon	ὄφρα ἴδῃς Μενέλαον ἀρήϊον ἀρχὸν Ἀχαιῶν, ὅν τις ὀϊστεύσας ἔβαλεν τόξων ἐῢ εἰδὼς Τρώων ἢ Λυκίων, τῷ μὲν κλέος, ἄμμι δὲ πένθος.		Matched predicted cluster 280 (exact-match)
008	Hom. Il. 6.90-97	155	Helenus	Hector	πέπλον, ὅς οἱ δοκέει χαριέστατος ἠδὲ μέγιστος εἶναι ἐνὶ μεγάρῳ καί οἱ πολὺ φίλτατος αὐτῇ, θεῖναι Ἀθηναίης ἐπὶ γούνασιν ἠϋκόμοιο, καί οἱ ὑποσχέσθαι δυοκαίδεκα βοῦς ἐνὶ νηῷ ἤνις ἠκέστας ἱερευσέμεν, αἴ κʼ ἐλεήσῃ ἄστύ τε καὶ Τρώων ἀλόχους καὶ νήπια τέκνα, ὥς κεν Τυδέος υἱὸν ἀπόσχῃ Ἰλίου ἱρῆς ἄγριον αἰχμητὴν κρατερὸν μήστωρα φόβοιο.		Matched predicted cluster 88 (spurious-match)
008	Hom. Il. 6.271-278	162	Hector	Hecabe	πέπλον δʼ, ὅς τίς τοι χαριέστατος ἠδὲ μέγιστος ἔστιν ἐνὶ μεγάρῳ καί τοι πολὺ φίλτατος αὐτῇ, τὸν θὲς Ἀθηναίης ἐπὶ γούνασιν ἠϋκόμοιο, καί οἱ ὑποσχέσθαι δυοκαίδεκα βοῦς ἐνὶ νηῷ ἤνις ἠκέστας ἱερευσέμεν, αἴ κʼ ἐλεήσῃ ἄστύ τε καὶ Τρώων ἀλόχους καὶ νήπια τέκνα, αἴ κεν Τυδέος υἱὸν ἀπόσχῃ Ἰλίου ἱρῆς ἄγριον αἰχμητὴν κρατερὸν μήστωρα φόβοιο.		Matched predicted cluster 88 (spurious-match)
009	Hom. Il. 6.93-95	155	Helenus	Hector	καί οἱ ὑποσχέσθαι δυοκαίδεκα βοῦς ἐνὶ νηῷ ἤνις ἠκέστας ἱερευσέμεν, αἴ κʼ ἐλεήσῃ ἄστύ τε καὶ Τρώων ἀλόχους καὶ νήπια τέκνα		Matched predicted cluster 88 (exact-match)
009	Hom. Il. 6.274-276	162	Hector	Hecabe	καί οἱ ὑποσχέσθαι δυοκαίδεκα βοῦς ἐνὶ νηῷ ἤνις ἠκέστας ἱερευσέμεν, αἴ κʼ ἐλεήσῃ ἄστύ τε καὶ Τρώων ἀλόχους καὶ νήπια τέκνα		Matched predicted cluster 88 (exact-match)
009	Hom. Il. 6.308-310	163	Theano	Athena	ὄφρά τοι αὐτίκα νῦν δυοκαίδεκα βοῦς ἐνὶ νηῷ ἤνις ἠκέστας ἱερεύσομεν, αἴ κʼ ἐλεήσῃς ἄστύ τε καὶ Τρώων ἀλόχους καὶ νήπια τέκνα.	Not listed by deJong as mess-speech (correctely in my view). Theano reformulates the first part of the prayer.	Matched predicted cluster 88 (exact-match)
010	Hom. Il. 7.40	180	Apollo	Athena	ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι	differently listed in deJong's appendix	
010	Hom. Il. 7.51	181	Helenus	Hector	ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι		
011	Hom. Il. 7.362-364	199	Paris 	Trojans	ἀντικρὺ δʼ ἀπόφημι γυναῖκα μὲν οὐκ ἀποδώσω· κτήματα δʼ ὅσσʼ ἀγόμην ἐξ Ἄργεος ἡμέτερον δῶ πάντʼ ἐθέλω δόμεναι καὶ οἴκοθεν ἄλλʼ ἐπιθεῖναι.	if only part of the hexameter is repeated, I take the whole 	
011	Hom. Il. 7.389-393	201	Idaius	Greeks	κτήματα μὲν ὅσʼ Ἀλέξανδρος κοίλῃς ἐνὶ νηυσὶν ἠγάγετο Τροίηνδʼ· ὡς πρὶν ὤφελλʼ ἀπολέσθαι· πάντʼ ἐθέλει δόμεναι καὶ οἴκοθεν ἄλλʼ ἐπιθεῖναι· κουριδίην δʼ ἄλοχον Μενελάου κυδαλίμοιο οὔ φησιν δώσειν· ἦ μὴν Τρῶές γε κέλονται.	Idaious reformulates and inverts the order of the informations	
012	Hom. Il. 7.374-378	200	Priam	Trojans/Idaius	μῦθον Ἀλεξάνδροιο, τοῦ εἵνεκα νεῖκος ὄρωρε· καὶ δὲ τόδʼ εἰπέμεναι πυκινὸν ἔπος, αἴ κʼ ἐθέλωσι παύσασθαι πολέμοιο δυσηχέος, εἰς ὅ κε νεκροὺς κήομεν· ὕστερον αὖτε μαχησόμεθʼ εἰς ὅ κε δαίμων ἄμμε διακρίνῃ, δώῃ δʼ ἑτέροισί γε νίκην.		Matched predicted cluster 181 (spurious-match)
012	Hom. Il. 7.388-397	201	Idaius	Greeks	μῦθον Ἀλεξάνδροιο, τοῦ εἵνεκα νεῖκος ὄρωρε· κτήματα μὲν ὅσʼ Ἀλέξανδρος κοίλῃς ἐνὶ νηυσὶν ἠγάγετο Τροίηνδʼ· ὡς πρὶν ὤφελλʼ ἀπολέσθαι· πάντʼ ἐθέλει δόμεναι καὶ οἴκοθεν ἄλλʼ ἐπιθεῖναι· κουριδίην δʼ ἄλοχον Μενελάου κυδαλίμοιο οὔ φησιν δώσειν· ἦ μὴν Τρῶές γε κέλονται. καὶ δὲ τόδʼ ἠνώγεον εἰπεῖν ἔπος αἴ κʼ ἐθέλητε παύσασθαι πολέμοιο δυσηχέος εἰς ὅ κε νεκροὺς κήομεν· ὕστερον αὖτε μαχησόμεθʼ εἰς ὅ κε δαίμων ἄμμε διακρίνῃ, δώῃ δʼ ἑτέροισί γε νίκην.	larger box criterion	Matched predicted cluster 181 (spurious-match)
013	Hom. Il. 8.402-408	225	Zeus	Iris	γυιώσω μέν σφωϊν ὑφʼ ἅρμασιν ὠκέας ἵππους, αὐτὰς δʼ ἐκ δίφρου βαλέω κατά θʼ ἅρματα ἄξω· οὐδέ κεν ἐς δεκάτους περιτελλομένους ἐνιαυτοὺς ἕλκεʼ ἀπαλθήσεσθον, ἅ κεν μάρπτῃσι κεραυνός· ὄφρα ἰδῇ γλαυκῶπις ὅτʼ ἂν ᾧ πατρὶ μάχηται. Ἥρῃ δʼ οὔ τι τόσον νεμεσίζομαι οὐδὲ χολοῦμαι· αἰεὶ γάρ μοι ἔωθεν ἐνικλᾶν ὅττί κεν εἴπω.		Matched predicted cluster 41 (exact-match)
013	Hom. Il. 8.416-422	226	Iris	Athena/Hera	γυιώσειν μὲν σφῶϊν ὑφʼ ἅρμασιν ὠκέας ἵππους, αὐτὰς δʼ ἐκ δίφρου βαλέειν κατά θʼ ἅρματα ἄξειν· οὐδέ κεν ἐς δεκάτους περιτελλομένους ἐνιαυτοὺς ἕλκεʼ ἀπαλθήσεσθον, ἅ κεν μάρπτῃσι κεραυνός· ὄφρα ἰδῇς γλαυκῶπι ὅτʼ ἂν σῷ πατρὶ μάχηαι. Ἥρῃ δʼ οὔ τι τόσον νεμεσίζεται οὐδὲ χολοῦται· αἰεὶ γάρ οἱ ἔωθεν ἐνικλᾶν ὅττι κεν εἴπῃ· ἀλλὰ σύ γʼ αἰνοτάτη κύον ἀδεὲς εἰ ἐτεόν γε τολμήσεις Διὸς ἄντα πελώριον ἔγχος ἀεῖραι.		Matched predicted cluster 41 (exact-match)
014	Hom. Il. 9.122-157	236	Agamemnon	Nestor/Greek leaders	ἕπτʼ ἀπύρους τρίποδας, δέκα δὲ χρυσοῖο τάλαντα, αἴθωνας δὲ λέβητας ἐείκοσι, δώδεκα δʼ ἵππους πηγοὺς ἀθλοφόρους, οἳ ἀέθλια ποσσὶν ἄροντο. οὔ κεν ἀλήϊος εἴη ἀνὴρ ᾧ τόσσα γένοιτο, οὐδέ κεν ἀκτήμων ἐριτίμοιο χρυσοῖο, ὅσσά μοι ἠνείκαντο ἀέθλια μώνυχες ἵπποι. δώσω δʼ ἑπτὰ γυναῖκας ἀμύμονα ἔργα ἰδυίας Λεσβίδας, ἃς ὅτε Λέσβον ἐϋκτιμένην ἕλεν αὐτὸς ἐξελόμην, αἳ κάλλει ἐνίκων φῦλα γυναικῶν. τὰς μέν οἱ δώσω, μετὰ δʼ ἔσσεται ἣν τότʼ ἀπηύρων κούρη Βρισῆος· ἐπὶ δὲ μέγαν ὅρκον ὀμοῦμαι μή ποτε τῆς εὐνῆς ἐπιβήμεναι ἠδὲ μιγῆναι, ἣ θέμις ἀνθρώπων πέλει ἀνδρῶν ἠδὲ γυναικῶν. ταῦτα μὲν αὐτίκα πάντα παρέσσεται· εἰ δέ κεν αὖτε ἄστυ μέγα Πριάμοιο θεοὶ δώωσʼ ἀλαπάξαι, νῆα ἅλις χρυσοῦ καὶ χαλκοῦ νηησάσθω εἰσελθών, ὅτε κεν δατεώμεθα ληΐδʼ Ἀχαιοί, Τρωϊάδας δὲ γυναῖκας ἐείκοσιν αὐτὸς ἑλέσθω, αἴ κε μετʼ Ἀργείην Ἑλένην κάλλισται ἔωσιν. εἰ δέ κεν Ἄργος ἱκοίμεθʼ Ἀχαιϊκὸν οὖθαρ ἀρούρης γαμβρός κέν μοι ἔοι· τίσω δέ μιν ἶσον Ὀρέστῃ, ὅς μοι τηλύγετος τρέφεται θαλίῃ ἔνι πολλῇ. τρεῖς δέ μοί εἰσι θύγατρες ἐνὶ μεγάρῳ εὐπήκτῳ Χρυσόθεμις καὶ Λαοδίκη καὶ Ἰφιάνασσα, τάων ἥν κʼ ἐθέλῃσι φίλην ἀνάεδνον ἀγέσθω πρὸς οἶκον Πηλῆος· ἐγὼ δʼ ἐπὶ μείλια δώσω πολλὰ μάλʼ, ὅσσʼ οὔ πώ τις ἑῇ ἐπέδωκε θυγατρί· ἑπτὰ δέ οἱ δώσω εὖ ναιόμενα πτολίεθρα Καρδαμύλην Ἐνόπην τε καὶ Ἱρὴν ποιήεσσαν Φηράς τε ζαθέας ἠδʼ Ἄνθειαν βαθύλειμον καλήν τʼ Αἴπειαν καὶ Πήδασον ἀμπελόεσσαν. πᾶσαι δʼ ἐγγὺς ἁλός, νέαται Πύλου ἠμαθόεντος· ἐν δʼ ἄνδρες ναίουσι πολύρρηνες πολυβοῦται, οἵ κέ ἑ δωτίνῃσι θεὸν ὣς τιμήσουσι καί οἱ ὑπὸ σκήπτρῳ λιπαρὰς τελέουσι θέμιστας. ταῦτά κέ οἱ τελέσαιμι μεταλήξαντι χόλοιο. 		Matched predicted cluster 577 (exact-match)
014	Hom. Il. 9.264-299	240	Odysseus	Achilles	ἕπτʼ ἀπύρους τρίποδας, δέκα δὲ χρυσοῖο τάλαντα, αἴθωνας δὲ λέβητας ἐείκοσι, δώδεκα δʼ ἵππους πηγοὺς ἀθλοφόρους, οἳ ἀέθλια ποσσὶν ἄροντο. οὔ κεν ἀλήϊος εἴη ἀνὴρ ᾧ τόσσα γένοιτο οὐδέ κεν ἀκτήμων ἐριτίμοιο χρυσοῖο, ὅσσʼ Ἀγαμέμνονος ἵπποι ἀέθλια ποσσὶν ἄροντο. δώσει δʼ ἑπτὰ γυναῖκας ἀμύμονα ἔργα ἰδυίας Λεσβίδας, ἃς ὅτε Λέσβον ἐϋκτιμένην ἕλες αὐτὸς ἐξέλεθʼ, αἳ τότε κάλλει ἐνίκων φῦλα γυναικῶν. τὰς μέν τοι δώσει, μετὰ δʼ ἔσσεται ἣν τότʼ ἀπηύρα κούρη Βρισῆος· ἐπὶ δὲ μέγαν ὅρκον ὀμεῖται μή ποτε τῆς εὐνῆς ἐπιβήμεναι ἠδὲ μιγῆναι ἣ θέμις ἐστὶν ἄναξ ἤτʼ ἀνδρῶν ἤτε γυναικῶν. ταῦτα μὲν αὐτίκα πάντα παρέσσεται· εἰ δέ κεν αὖτε ἄστυ μέγα Πριάμοιο θεοὶ δώωσʼ ἀλαπάξαι, νῆα ἅλις χρυσοῦ καὶ χαλκοῦ νηήσασθαι εἰσελθών, ὅτε κεν δατεώμεθα ληΐδʼ Ἀχαιοί, Τρωϊάδας δὲ γυναῖκας ἐείκοσιν αὐτὸς ἑλέσθαι, αἵ κε μετʼ Ἀργείην Ἑλένην κάλλισται ἔωσιν. εἰ δέ κεν Ἄργος ἱκοίμεθʼ Ἀχαιϊκὸν οὖθαρ ἀρούρης γαμβρός κέν οἱ ἔοις· τίσει δέ σε ἶσον Ὀρέστῃ, ὅς οἱ τηλύγετος τρέφεται θαλίῃ ἔνι πολλῇ. τρεῖς δέ οἵ εἰσι θύγατρες ἐνὶ μεγάρῳ εὐπήκτῳ Χρυσόθεμις καὶ Λαοδίκη καὶ Ἰφιάνασσα, τάων ἥν κʼ ἐθέλῃσθα φίλην ἀνάεδνον ἄγεσθαι πρὸς οἶκον Πηλῆος· ὃ δʼ αὖτʼ ἐπὶ μείλια δώσει πολλὰ μάλʼ, ὅσσʼ οὔ πώ τις ἑῇ ἐπέδωκε θυγατρί· ἑπτὰ δέ τοι δώσει εὖ ναιόμενα πτολίεθρα Καρδαμύλην Ἐνόπην τε καὶ Ἱρὴν ποιήεσσαν Φηράς τε ζαθέας ἠδʼ Ἄνθειαν βαθύλειμον καλήν τʼ Αἴπειαν καὶ Πήδασον ἀμπελόεσσαν. πᾶσαι δʼ ἐγγὺς ἁλός, νέαται Πύλου ἠμαθόεντος· ἐν δʼ ἄνδρες ναίουσι πολύρρηνες πολυβοῦται, οἵ κέ σε δωτίνῃσι θεὸν ὣς τιμήσουσι καί τοι ὑπὸ σκήπτρῳ λιπαρὰς τελέουσι θέμιστας. ταῦτά κέ τοι τελέσειε μεταλήξαντι χόλοιο.		Matched predicted cluster 577 (exact-match)
072	Hom. Il. 9.132-135	236	Agamemnon	Nestor	κούρη Βρισῆος· ἐπὶ δὲ μέγαν ὅρκον ὀμοῦμαι μή ποτε τῆς εὐνῆς ἐπιβήμεναι ἠδὲ μιγῆναι, ἣ θέμις ἀνθρώπων πέλει ἀνδρῶν ἠδὲ γυναικῶν 		Matched predicted cluster 503 (partial-match)
072	Hom. Il. 9.274-276	240	Odysseus	Achilles	κούρη Βρισῆος· ἐπὶ δὲ μέγαν ὅρκον ὀμεῖται μή ποτε τῆς εὐνῆς ἐπιβήμεναι ἠδὲ μιγῆναι ἣ θέμις ἐστὶν ἄναξ ἤτʼ ἀνδρῶν ἤτε γυναικῶν		Matched predicted cluster 503 (partial-match)
072	Hom. Il. 19.175-177	514	Odysseus	Achilles	ὀμνυέτω δέ τοι ὅρκον ἐν Ἀργείοισιν ἀναστὰς μή ποτε τῆς εὐνῆς ἐπιβήμεναι ἠδὲ μιγῆναι· ἣ θέμις ἐστὶν ἄναξ ἤ τʼ ἀνδρῶν ἤ τε γυναικῶν	Not in de Jong's list	Matched predicted cluster 503 (partial-match)
015	Hom. Il. 9.417-420	242	Achilles	Odysseus	καὶ δʼ ἂν τοῖς ἄλλοισιν ἐγὼ παραμυθησαίμην οἴκαδʼ ἀποπλείειν, ἐπεὶ οὐκέτι δήετε τέκμωρ Ἰλίου αἰπεινῆς· μάλα γάρ ἑθεν εὐρύοπα Ζεὺς χεῖρα ἑὴν ὑπερέσχε, τεθαρσήκασι δὲ λαοί. 		Matched predicted cluster 345 (exact-match)
